City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,1.4,90,99,6.73,TF,1696089998
1,greymouth,-42.4667,171.2,9.07,82,100,5.63,NZ,1696090161
2,bikenibeu village,1.3673,173.1241,26.98,83,75,1.54,KI,1696090018
3,port mathurin,-19.6833,63.4167,23.16,80,76,10.73,MU,1696090013
4,grytviken,-54.2811,-36.5092,2.45,92,27,4.24,GS,1696090005
5,lerwick,60.1545,-1.1494,11.0,73,90,3.4,GB,1696090079
6,lluta,-16.0147,-72.0142,18.59,29,94,4.96,PE,1696090171
7,taghazout,30.5426,-9.7112,34.43,37,75,4.34,MA,1696090171
8,salinas,36.6777,-121.6555,16.34,94,100,4.12,US,1696090057
9,hammerfest,70.6634,23.6821,8.25,93,100,3.6,NO,1696090043
10,tynda,55.1667,124.7167,2.12,79,22,1.44,RU,1696090172
11,adamstown,-25.066,-130.1015,20.58,88,100,12.23,PN,1696090011
12,utrik,11.2278,169.8474,28.02,80,95,5.79,MH,1696090035
13,fale old settlement,-9.3852,-171.2468,28.23,74,53,2.24,TK,1696090059
14,rio grande,-32.035,-52.0986,16.06,76,100,6.59,BR,1696090140
15,whitehorse,60.7161,-135.0538,3.78,95,75,1.03,CA,1696090003
16,puerto natales,-51.7236,-72.4875,14.25,26,75,6.17,CL,1696090023
17,klyuchi,52.2667,79.1667,11.16,61,100,2.9,RU,1696090027
18,ushuaia,-54.8,-68.3,13.81,28,0,1.03,AR,1696089941
19,ilulissat,69.2167,-51.1,0.01,59,75,3.6,GL,1696090019
20,nova sintra,14.8667,-24.7167,23.89,80,36,4.47,CV,1696090047
21,jamestown,42.097,-79.2353,19.45,93,100,2.06,US,1696090028
22,iqaluit,63.7506,-68.5145,1.85,100,100,8.75,CA,1696089860
23,west bay,19.3667,-81.4167,32.81,76,18,0.45,KY,1696090175
24,miguel ahumada,30.6167,-106.5167,26.73,33,96,3.89,MX,1696090175
25,mount pearl,47.5166,-52.7813,15.96,78,9,2.24,CA,1696090057
26,lancaster,40.2504,-76.2499,22.66,78,100,4.12,US,1696090176
27,longyearbyen,78.2186,15.6401,-3.09,63,40,7.72,SJ,1696089881
28,avarua,-21.2078,-159.775,24.03,94,75,4.63,CK,1696090030
29,callao,-12.0667,-77.15,22.07,77,100,3.09,PE,1696090176
30,khandyga,62.6667,135.6,-1.54,62,12,0.51,RU,1696090177
31,chamical,-30.36,-66.314,22.08,27,0,6.15,AR,1696090177
32,hermanus,-34.4187,19.2345,14.95,66,12,4.47,ZA,1696090031
33,port elizabeth,-33.918,25.5701,15.05,79,100,3.58,ZA,1696090010
34,hawaiian paradise park,19.5933,-154.9731,23.35,96,75,2.06,US,1696089999
35,itoman,26.1247,127.6694,28.01,92,40,3.6,JP,1696090178
36,escanaba,45.7453,-87.0646,18.17,100,40,3.6,US,1696090178
37,makarov,48.6333,142.8,12.13,76,86,3.01,RU,1696090179
38,weno,7.4515,151.8468,26.97,83,100,0.0,FM,1696090179
39,taroa,8.7058,171.2275,27.54,73,96,2.23,MH,1696090179
40,waitangi,-43.9535,-176.5597,8.43,61,79,15.02,NZ,1696090005
41,polyarnyy,69.1989,33.4478,8.03,91,100,3.91,RU,1696090074
42,ponta delgada,37.7333,-25.6667,22.33,88,75,5.66,PT,1696090180
43,waspan,14.7419,-83.9717,29.6,77,32,1.32,NI,1696090119
44,udachny,66.4167,112.4,2.45,98,100,2.26,RU,1696090014
45,richards bay,-28.783,32.0377,22.05,79,24,10.48,ZA,1696090070
46,kununurra,-15.7667,128.7333,22.99,78,82,2.06,AU,1696089972
47,pokrovsk,48.282,37.1758,20.19,36,5,3.77,UA,1696090182
48,nobres,-14.7203,-56.3275,38.83,32,13,0.17,BR,1696090182
49,albany,42.6001,-73.9662,16.85,94,100,0.45,US,1696090029
50,punta arenas,-53.15,-70.9167,8.06,61,0,5.14,CL,1696089945
51,mtskheta,41.8451,44.7188,20.05,65,56,1.13,GE,1696090183
52,price,39.5994,-110.8107,20.62,19,0,3.09,US,1696090183
53,west island,-12.1568,96.8225,25.99,78,100,7.2,CC,1696090025
54,sao vicente,-23.9631,-46.3919,30.71,69,100,2.06,BR,1696089761
55,bredasdorp,-34.5322,20.0403,14.0,66,16,4.93,ZA,1696090052
56,uturoa,-16.7333,-151.4333,25.88,79,19,8.8,PF,1696090073
57,fort st. john,56.2499,-120.8529,3.94,100,100,2.06,CA,1696089907
58,new norfolk,-42.7826,147.0587,14.4,58,97,1.37,AU,1696090114
59,mthatha,-31.5889,28.7844,14.95,77,45,4.68,ZA,1696090185
60,nadym,65.5333,72.5167,2.06,68,100,5.05,RU,1696090155
61,dudinka,69.4058,86.1778,-8.51,91,11,5.36,RU,1696090049
62,papatowai,-46.5619,169.4708,7.02,70,95,5.45,NZ,1696090038
63,hamilton,39.1834,-84.5333,25.89,72,0,2.57,US,1696089930
64,yaren,-0.5472,166.916,27.61,81,100,5.59,NR,1696090186
65,argo,37.6333,22.7333,22.66,55,100,1.59,GR,1696090062
66,bardai,11.65,7.2333,24.87,71,98,2.27,NG,1696090017
67,yellowknife,62.456,-114.3525,3.42,52,92,1.53,CA,1696090004
68,carbonear,47.7332,-53.2148,16.67,80,7,1.56,CA,1696090077
69,invercargill,-46.4,168.35,6.12,78,97,1.79,NZ,1696090032
70,margaret river,-33.95,115.0667,14.7,67,81,6.0,AU,1696089826
71,kayangel,8.0823,134.7173,27.91,83,100,8.16,PW,1696090089
72,ciudad lazaro cardenas,17.9583,-102.2,30.21,71,56,0.67,MX,1696090095
73,ust-nera,64.5667,143.2,-3.83,64,18,2.51,RU,1696090002
74,hirara,24.8,125.2833,28.19,83,5,6.93,JP,1696090188
75,hyannis,41.6529,-70.2828,17.05,97,100,4.63,US,1696090135
76,rapar,23.5667,70.6333,31.35,47,10,0.94,IN,1696090189
77,bilibino,68.0546,166.4372,-6.69,97,100,2.41,RU,1696089998
78,burao,9.5221,45.5336,29.12,35,77,8.27,SO,1696090189
